symbol	Geneid	cardiomyocytes_probability	cardiomyocytes_distance	cardiomyocytes_p_value	cardiomyocytes_FDR	cardiomyocytes_rank	endothelial cells_probability	endothelial cells_distance	endothelial cells_p_value	endothelial cells_FDR	endothelial cells_rank	fibroblasts_probability	fibroblasts_distance	fibroblasts_p_value	fibroblasts_FDR	fibroblasts_rank	cardiomyocytes_exp	endothelial cells_exp	fibroblasts_exp
TTN	ENSG00000155657	1.0	16.843	0.0	0.0	1	1.0	14.296	0.0	0.0	1	1.0	16.384	0.0	0.0	1	10.04	4.249	7.732
PHOX2B	ENSG00000109132	1.0	13.648	0.0	0.0	2	1.0	10.444	0.0	0.0	15	1.0	11.505	0.0	0.0	8	-4.335	-9.921	-6.795
NEB	ENSG00000183091	1.0	13.616	0.0	0.0	3	1.0	11.537	0.0	0.0	6	1.0	12.896	0.0	0.0	2	3.168	-0.993	1.756
FLNC	ENSG00000128591	1.0	12.716	0.0	0.0	4	1.0	10.484	0.0	0.0	14	1.0	11.606	0.0	0.0	7	6.567	1.762	3.837
NANOS1	ENSG00000188613	1.0	12.32	0.0	0.0	5	1.0	10.68	0.0	0.0	13	0.998	6.115	0.0	0.0	313	4.498	1.066	-6.795
OBSCN	ENSG00000154358	1.0	12.284	0.0	0.0	6	1.0	9.96	0.0	0.0	22	1.0	10.598	0.0	0.0	18	3.092	-1.544	0.015
SOX4	ENSG00000124766	1.0	12.198	0.0	0.0	7	1.0	12.527	0.0	0.0	3	1.0	12.868	0.0	0.0	3	9.3	9.221	9.17
MYH6	ENSG00000197616	1.0	11.613	0.0	0.0	8	1.0	9.988	0.0	0.0	21	1.0	11.79	0.0	0.0	6	11.185	7.1	9.826
SOX6	ENSG00000110693	1.0	11.549	0.0	0.0	9	1.0	9.706	0.0	0.0	28	1.0	11.186	0.0	0.0	10	-0.643	-3.946	-0.682
TCF7L2	ENSG00000148737	1.0	11.413	0.0	0.0	10	1.0	11.511	0.0	0.0	7	1.0	12.262	0.0	0.0	4	-0.367	0.092	1.679
TENM2	ENSG00000145934	1.0	11.393	0.0	0.0	11	0.999	7.548	0.0	0.0	115	1.0	9.389	0.0	0.0	46	1.674	-5.781	-1.691
NR2F1	ENSG00000175745	1.0	11.22	0.0	0.0	12	1.0	9.768	0.0	0.0	26	1.0	10.996	0.0	0.0	14	5.703	2.515	4.694
