Geneid	symbol
ENSMUSG00000062944	9130023H24Rik
ENSMUSG00000051149	Adnp
ENSMUSG00000053950	Adnp2
ENSMUSG00000020473	Aebp1
ENSMUSG00000030232	Aebp2
ENSMUSG00000029313	Aff1
ENSMUSG00000031189	Aff2
ENSMUSG00000037138	Aff3
ENSMUSG00000049470	Aff4
ENSMUSG00000026491	Ahctf1
ENSMUSG00000019256	Ahr
ENSMUSG00000021575	Ahrr
ENSMUSG00000000731	Aire
ENSMUSG00000039158	Akna
ENSMUSG00000036602	Alx1
ENSMUSG00000014603	Alx3
ENSMUSG00000040310	Alx4
ENSMUSG00000026199	Ankzf1
ENSMUSG00000039623	Ap5z1
ENSMUSG00000046532	Ar
ENSMUSG00000058230	Arhgap35
ENSMUSG00000007880	Arid1a
ENSMUSG00000069729	Arid1b
ENSMUSG00000033237	Arid2
ENSMUSG00000019564	Arid3a
ENSMUSG00000004661	Arid3b
ENSMUSG00000066224	Arid3c
ENSMUSG00000048118	Arid4a
ENSMUSG00000039219	Arid4b
ENSMUSG00000037447	Arid5a
ENSMUSG00000019947	Arid5b
ENSMUSG00000015522	Arnt
ENSMUSG00000015709	Arnt2
ENSMUSG00000055116	Arntl
ENSMUSG00000040187	Arntl2
ENSMUSG00000035277	Arx
ENSMUSG00000020052	Ascl1
ENSMUSG00000009248	Ascl2
ENSMUSG00000035951	Ascl3
ENSMUSG00000085111	Ascl4
ENSMUSG00000028053	Ash1l
ENSMUSG00000031575	Ash2l
ENSMUSG00000023027	Atf1
ENSMUSG00000027104	Atf2
ENSMUSG00000026628	Atf3
ENSMUSG00000042406	Atf4
ENSMUSG00000038539	Atf5
ENSMUSG00000026663	Atf6
ENSMUSG00000015461	Atf6b
ENSMUSG00000099083	Atf7
ENSMUSG00000073043	Atoh1
ENSMUSG00000036816	Atoh7
ENSMUSG00000037621	Atoh8
ENSMUSG00000031229	Atrx
ENSMUSG00000021738	Atxn7
ENSMUSG00000025612	Bach1
ENSMUSG00000040270	Bach2
ENSMUSG00000026805	Barhl1
ENSMUSG00000034384	Barhl2
ENSMUSG00000021381	Barx1
ENSMUSG00000032033	Barx2
ENSMUSG00000034266	Batf
ENSMUSG00000039699	Batf2
ENSMUSG00000026630	Batf3
ENSMUSG00000022641	Bbx
ENSMUSG00000000861	Bcl11a
ENSMUSG00000048251	Bcl11b
ENSMUSG00000053175	Bcl3
ENSMUSG00000022508	Bcl6
ENSMUSG00000000317	Bcl6b
ENSMUSG00000037608	Bclaf1
ENSMUSG00000052271	Bhlha15
ENSMUSG00000044243	Bhlha9
ENSMUSG00000072964	Bhlhb9
ENSMUSG00000025128	Bhlhe22
ENSMUSG00000045493	Bhlhe23
ENSMUSG00000030103	Bhlhe40
ENSMUSG00000030256	Bhlhe41
ENSMUSG00000027358	Bmp2
ENSMUSG00000049086	Bmyc
ENSMUSG00000025105	Bnc1
ENSMUSG00000028487	Bnc2
ENSMUSG00000015943	Bola1
ENSMUSG00000047721	Bola2
ENSMUSG00000045160	Bola3
ENSMUSG00000040481	Bptf
ENSMUSG00000017146	Brca1
ENSMUSG00000054360	Bsx
ENSMUSG00000014592	Camta1
ENSMUSG00000040712	Camta2
ENSMUSG00000008393	Carhsp1
ENSMUSG00000028977	Casz1
ENSMUSG00000031885	Cbfb
ENSMUSG00000023932	Cdc5l
ENSMUSG00000024619	Cdx1
ENSMUSG00000029646	Cdx2
ENSMUSG00000031326	Cdx4
ENSMUSG00000034957	Cebpa
ENSMUSG00000056501	Cebpb
ENSMUSG00000071637	Cebpd
ENSMUSG00000052435	Cebpe
ENSMUSG00000056216	Cebpg
ENSMUSG00000024081	Cebpz
ENSMUSG00000036672	Cenpt
ENSMUSG00000047710	Champ1
ENSMUSG00000005442	Cic
ENSMUSG00000039205	Ciz1
ENSMUSG00000029238	Clock
ENSMUSG00000038784	Cnot4
ENSMUSG00000072995	Cpxcr1
ENSMUSG00000038002	Cramp1l
ENSMUSG00000025958	Creb1
ENSMUSG00000028466	Creb3
ENSMUSG00000027230	Creb3l1
ENSMUSG00000038648	Creb3l2
ENSMUSG00000035041	Creb3l3
ENSMUSG00000027938	Creb3l4
ENSMUSG00000053007	Creb5
ENSMUSG00000022521	Crebbp
ENSMUSG00000032652	Crebl2
ENSMUSG00000051451	Crebzf
ENSMUSG00000063889	Crem
ENSMUSG00000041578	Crx
ENSMUSG00000032515	Csrnp1
ENSMUSG00000044636	Csrnp2
ENSMUSG00000044647	Csrnp3
ENSMUSG00000005698	Ctcf
ENSMUSG00000070495	Ctcfl
ENSMUSG00000029705	Cux1
