no_of_parent_edges	no_of_children_edges	Exp_parent_mean	CIG_distance_parent_mean	Exp_parent_median	Exp_child_mean	Exp_child_CV	EXP	CIG_distance	label
137.0	11.0	0.4688342585024074	1.8587695870676937	2.693890867333568	4.408650303585529	0.8151114781911419	7.6687183	1.128833035627268	1
211.0	2808.0	3.375316694017915	2.245885113716571	4.053344924127912	3.540508742458552	0.9755163261993748	5.126775	4.918069247744646	1
218.0	2706.0	2.517493375337123	2.4540298805870315	3.5696635925256945	2.004555640412944	2.1940243378193376	6.1477413	5.764056936563183	1
195.0	2315.0	2.236777738162603	2.1086883337061337	3.5442024607232523	2.218985656510649	1.9979025581059893	7.584744	4.925670826431673	1
253.0	2124.0	2.2779143969232325	1.7833236376739623	3.4203004303492768	2.1294165809554366	1.9471892539991351	5.5881057	1.407592887973797	1
143.0	1040.0	1.193078709125169	2.330197870452082	2.8353695524974696	2.972637304894804	1.3121736152821526	2.2267613	10.212884566710962	1
204.0	3410.0	1.942516047740757	1.9179412850056337	3.138760058329349	2.5407716372524267	1.72978902076492	1.8893478	2.9330868001206984	1
236.0	2958.0	0.6885346057073379	1.930121633146579	2.5592008407353344	2.6641867648230813	1.709302051719734	4.2676625	2.5449473886419853	1
119.0	1231.0	2.3495806981004064	2.4247644057699462	3.714731667340208	2.8764265834554483	1.4168679547142402	2.6290138	9.647259847466676	1
172.0	2001.0	0.8957267482870275	2.285709057303099	2.487472533021763	2.2294200208403314	2.042164273985712	7.40905	9.169197833666692	1
214.0	2237.0	1.1198667868681147	1.6812649701021007	3.037347269114633	2.258193995310132	2.112891871046464	4.641708	4.4666502765107525	1
222.0	2947.0	1.5096011663988051	1.3365017642469152	3.0807299638519896	1.6990810643543173	2.694644479537016	3.966604	3.8221419538246297	1
129.0	3684.0	-0.2625948478106772	1.5597446869757223	1.826068095246615	3.3116833831835115	1.271317063161458	8.762436	2.5578368311452016	1
51.0	527.0	0.0	1.1822826109557925	-2.687248348639733	0.0	0.0	-5.0390854	1.890421842320828	1
