no_of_parent_edges	no_of_children_edges	Exp_parent_mean	CIG_distance_parent_mean	CIG_distance_parent_CV	Exp_child_median	EXP	CIG_distance	label
1274.0	141.0	1.432	1.282	1.518	1.33	3.465	4.884	1
1592.0	3751.0	3.012	2.389	0.981	3.317	1.223	3.895	1
2182.0	1020.0	2.675	2.288	0.99	2.921	1.411	5.516	1
1653.0	198.0	1.487	2.284	1.011	1.415	3.171	4.726	1
1689.0	223.0	0.9	1.758	1.421	1.116	2.104	4.384	1
1283.0	702.0	-1.195	1.524	2.298	1.437	2.261	8.384	1
1371.0	3554.0	2.403	2.65	0.83	3.495	2.289	4.169	1
2021.0	1207.0	3.109	2.446	0.761	2.535	2.196	2.953	1
907.0	205.0	2.193	2.413	1.21	2.737	1.756	6.984	1
1422.0	1916.0	0.663	1.935	1.003	0.563	5.931	3.1	1
1576.0	734.0	3.298	2.383	0.824	2.694	3.231	3.682	1
2803.0	825.0	3.316	1.926	0.871	3.165	4.792	3.533	1
1006.0	4357.0	2.354	1.822	1.125	2.921	7.69	3.459	1
1594.0	730.0	1.892	1.914	1.651	0.274	2.346	8.02	1
1557.0	835.0	1.951	1.914	1.69	-0.577	3.736	4.092	1
2658.0	3998.0	-0.344	1.83	1.35	1.719	5.617	7.346	1
2240.0	1704.0	3.135	2.187	0.918	3.507	4.153	6.211	1
1962.0	247.0	2.12	1.615	2.023	1.97	6.255	5.155	1
2000.0	259.0	2.213	1.755	1.801	1.686	8.401	8.497	1
3706.0	466.0	1.941	2.093	1.501	2.006	8.788	8.24	1
1810.0	678.0	-0.304	2.098	1.149	-0.299	2.889	7.727	1
1671.0	4058.0	1.351	2.919	0.785	3.259	4.767	5.255	1
2658.0	3998.0	1.455	2.986	0.747	2.739	8.566	7.827	1
1688.0	1549.0	0.333	2.472	1.057	3.39	6.019	5.917	1
25.0	91.0	-1.949	2.301	1.355	-3.165	-0.005	5.168	1
735.0	46.0	-2.363	1.147	3.242	0.088	-2.291	1.699	1
1091.0	744.0	-0.355	1.623	1.742	-0.277	-8.952	-1.366	1
781.0	421.0	-2.2	1.336	2.589	2.601	0.054	3.859	1
909.0	1352.0	-2.567	1.288	2.795	1.054	-1.094	2.865	1
1213.0	893.0	0.413	2.525	0.912	-0.124	2.446	4.451	1
1640.0	285.0	0.366	2.652	0.926	0.53	1.712	5.498	1
2036.0	3849.0	1.723	2.422	0.811	3.374	1.308	4.892	1
1307.0	565.0	0.726	2.367	0.937	3.2	4.751	5.896	1
964.0	566.0	0.917	1.989	1.068	2.067	2.638	3.424	1
72.0	165.0	-0.131	2.78	0.829	-0.254	0.975	3.112	1
2626.0	1312.0	-0.094	3.788	0.824	0.099	5.933	7.603	1
