Geneid	Gene_name	mca3gini	mtdtau_log	mtdroku_specificity_log	Total_utr_5_len	tss_dis	TF_motif_meanexon	TF_motif_cv_tss_3kb	TF_motif_totaltss_2kb_norm_GL	utr5_mirna_count	exon_avg_CS_median	R_codon_bias_median_trans	AT_transcript_pct	GC_intron_pct	AT_intron_pct	GC_tss_2kb_pct
ENSMUSG00000007777	0610009B22Rik	0.2893	0.2532	0.127	210.0	37921.0	0.116883117	3.238988827	0.157593123	833.0	0.28	5.0	0.569791	0.425876011	0.574123989	0.441
ENSMUSG00000042208	0610010F05Rik	0.2249	0.4492	0.063	199.0	113607.0	0.366692131	3.622675304	0.011590611	615.0	1.72	42.0	0.600956	0.398439867	0.601560133	0.46625
ENSMUSG00000020831	0610010K14Rik	0.313	0.1737	0.0634	111.0	8175.0	1.886936593	1.926650239	2.616236162	2388.0	1.69	8.5	0.45515	0.530051813	0.469948187	0.55425
ENSMUSG00000107002	0610012G03Rik	0.1786	0.2881	0.0714	47.0	14644.0	0.158899924	2.136131355	0.386583679	57.0	0.08	6.0	0.454671			0.499
ENSMUSG00000058706	0610030E20Rik	0.2214	0.2471	0.1495	76.0	2149.0	0.72039725	2.86826439	0.077544704	42.0	0.9	8.0	0.520722	0.516528926	0.483471074	0.48425
ENSMUSG00000060512	0610040J01Rik	0.6328	0.5192	0.062	308.0	163255.0	0.41329259	1.717095775	0.005981848	102.0	0.85	92.0	0.558851	0.438660489	0.561339511	0.451
ENSMUSG00000030663	1110004F10Rik	0.1795	0.256	0.086	755.0	967.0	0.152024446	1.668309209	0.014825645	767.0	1.45	43.0	0.612247	0.386364362	0.613635638	0.47325
ENSMUSG00000039195	1110008P14Rik	0.2621	0.3063	0.0544	93.0	28524.0	0.621848739	1.771441857	0.092930564	165.0	0.45	15.0	0.448175	0.527932961	0.472067039	0.531
ENSMUSG00000045237	1110012L19Rik	0.1835	0.3426	0.0863	297.0	20792.0	0.178762414	1.958898462	0.099096556	323.0	0.11	3.5	0.530359	0.461381283	0.538618717	0.469
ENSMUSG00000028441	1110017D15Rik	0.9609	0.8311	0.317	172.0	14257.0	0.693659282	2.624879386	0.369625183	5532.0	0.88	17.0	0.525598	0.46650611	0.53349389	0.479
ENSMUSG00000037971	1110032A03Rik	0.4587	0.485	0.111	0.0	502.0	0.938884645	1.934870446	0.113353116	1085.0	0.31	18.0	0.558843	0.430532492	0.569467508	0.48325
ENSMUSG00000046999	1110032F04Rik	0.5096	0.7982	0.1868	123.0	178942.0	0.542398778	1.903568079	0.180302443	59.0	0.35	8.0	0.470132			0.54475
ENSMUSG00000063236	1110038F14Rik	0.2019	0.3435	0.1063	61.0	23300.0	0.188693659	3.530011277	0.308691756	925.0	0.38	3.0	0.507396	0.450909091	0.549090909	0.49025
ENSMUSG00000040591	1110051M20Rik	0.4005	0.3124	0.15	9.0	179649.0	0.699006875	2.326524122	0.002659888	320.0	1.85	120.0	0.566041	0.432133878	0.567866122	0.406
ENSMUSG00000035171	1110059E24Rik	0.1862	0.3929	0.0594	21.0	180056.0	0.113827349	2.970295557	0.018468292	122.0	0.55	52.0	0.5802	0.419439432	0.580560568	0.49675
ENSMUSG00000032551	1110059G10Rik	0.172	0.5293	0.0742	89.0	27929.0	0.530175707	2.032109915	0.165905632	74.0	0.69	8.0	0.587957	0.398667189	0.601332811	0.424
ENSMUSG00000078570	1110065P20Rik	0.3188	0.2459	0.0591	370.0	518.0	0.312452254	1.593845126	0.663934426	232.0	1.24	13.0	0.315759	0.685950413	0.314049587	0.56575
ENSMUSG00000043687	1190005I06Rik	0.6636	0.5498	0.0724	133.0	58328.0	0.186401833	2.190284439	0.072618649	28.0	0.4	60.0	0.478986	0.519935246	0.480064754	0.52525
ENSMUSG00000063320	1190007I07Rik	0.2953	0.2261	0.1083	243.0	130578.0	0.096256684	2.020143533	0.115625934	1050.0	0.35	6.0	0.536461	0.447908745	0.552091255	0.4865
ENSMUSG00000087651	1500009L16Rik	0.6026	0.5252	0.0	125.0	74126.0	0.249045073	2.400592597	0.016441515	431.0	0.94	45.0	0.540629	0.459306532	0.540693468	0.494
ENSMUSG00000072694	1500011B03Rik	0.3322	0.5689	0.1743	16.0	48516.0	0.029029794	2.057741087	0.034728962		0.31	25.0	0.506274	0.490665904	0.509334096	0.475
ENSMUSG00000043747	1520401A03Rik	0.9657	0.0	0.0	0.0	38757.0	2.640183346	2.443626774	0.082199268	1894.0	0.14	10.0	0.477864	0.516848535	0.483151465	0.499
ENSMUSG00000035595	1600002K03Rik	0.2134	0.3964	0.1409	23.0	5104.0	0.089381207	1.970813205	0.608892922	59.0	0.24	5.0	0.481616	0.498360656	0.501639344	0.54125
ENSMUSG00000050088	1600012H06Rik	0.1539	0.2978	0.1425	0.0	146.0	0.226126814	2.122592015	0.067051101	680.0	0.47	12.0	0.600736	0.395929933	0.604070067	0.4825
ENSMUSG00000054676	1600014C10Rik	0.3156	0.4448	0.0729	318.0	75682.0	0.675324675	1.533683767	0.041109253	518.0	0.3	18.0	0.507003	0.493234039	0.506765961	0.51475
ENSMUSG00000029182	1700001C02Rik	0.9857	0.4679	0.0	53.0	4126.0	0.103132162	1.598384704	0.024624258	184.0	0.56	28.0	0.50294	0.494421643	0.505578357	0.501
ENSMUSG00000095040	1700001J03Rik	0.9887	0.8741	0.0	35.0	14583.0	0.089381207	1.872156048	0.104712042	93.0	-0.06	3.0	0.499651	0.503610977	0.496389023	0.496
ENSMUSG00000021534	1700001L19Rik	0.9504	0.8066	0.0	56.0	15173.0	0.373567609	2.596984234	0.041220557	39.0	0.36	15.0	0.53923	0.46026026	0.53973974	0.5005
ENSMUSG00000044320	1700001O22Rik	0.9576	0.7245	0.0	0.0	208596.0	0.139037433	1.737056523	0.069350474	179.0	0.09	21.0	0.462276	0.531784529	0.468215471	0.4885
ENSMUSG00000030030	1700003E16Rik	0.9738	0.8652	0.2459	170.0	6.0	0.231474408	1.678842843	0.136481736	83.0	0.63	16.0	0.501223	0.449579832	0.550420168	0.5035
ENSMUSG00000038523	1700003F12Rik	0.9765	0.8661	0.0	0.0	110604.0	0.189457601	2.121060462	0.557586837	63.0	0.27	6.0	0.466715	0.496343247	0.503656753	0.513
ENSMUSG00000026831	1700007K13Rik	0.8518	0.815	0.0	64.0	18392.0	0.145148969	2.419769595	0.09254558	82.0	0.51	7.0	0.49446	0.499431818	0.500568182	0.51625
ENSMUSG00000008028	1700008O03Rik	0.7814	0.8306	0.0	0.0	1531.0	0.07486631	2.362226172	0.090462528	1158.0	-0.04	33.0	0.515498	0.482827299	0.517172701	0.52425
ENSMUSG00000023873	1700010I14Rik	0.9104	0.901	0.2418	0.0	462970.0	0.238349885	1.81718175	0.017196832	218.0	0.19	19.0	0.539775	0.456699421	0.543300579	0.46625
ENSMUSG00000054727	1700013H16Rik	0.9601	0.2451	0.0	85.0	33006.0	0.320091673	5.148456586	0.087396196	201.0	0.31	13.0	0.581073	0.418764135	0.581235865	0.5155
ENSMUSG00000094445	1700015G11Rik	0.9997	0.0	0.0	47.0	9710.0	0.035905271	2.022201929	0.141092167	200.0	0.1	3.5	0.619377	0.37160866	0.62839134	0.421
ENSMUSG00000029320	1700016H13Rik	0.9945	0.6452	0.0	313.0	26607.0	0.239113827	3.996609925	0.121033488	1297.0	0.23	16.0	0.563848	0.432183908	0.567816092	0.48425
ENSMUSG00000032300	1700017B05Rik	0.2653	0.4801	0.078	237.0	26057.0	0.504201681	2.337419068	0.047909866	125.0	0.32	27.0	0.444398	0.53125	0.46875	0.56325
ENSMUSG00000029620	1700018F24Rik	0.9993	0.1471	0.0	48.0	10235.0	0.374331551	1.607250919	0.403267731	82.0	0.4	1.0	0.494428	0.527388535	0.472611465	0.46025
