ts_id	Geneid	length	Total_num_exons	Total_exons_len	avg_exon_length	Total_num_introns	Total_introns_len	avg_intron_length	Total_num_utr_5	Total_utr_5_len	avg_utr_5_length	Total_num_utr_3	Total_utr_3_len	avg_utr_3_length
ENST00000612152	ENSG00000000003	9997	7	3803	543.29	6	6206	1034.33	2	491	245.5	2	2919	1459.5
ENST00000373031	ENSG00000000005	14951	7	1212	173.14	6	13751	2291.83	1	84	84	1	169	169
ENST00000683010	ENSG00000000419	17002	6	3010	501.67	5	14002	2800.4	0	0	0	0	0	0
ENST00000367771	ENSG00000000457	44267	13	6321	486.23	12	37970	3164.17	2	161	80.5	1	4083	4083
ENST00000286031	ENSG00000000460	58673	24	4379	182.46	23	54340	2362.61	3	703	234.33	1	1094	1094
ENST00000374005	ENSG00000000938	23123	13	2650	203.85	12	20497	1708.08	3	200	66.67	1	851	851
ENST00000466229	ENSG00000000971	70518	16	7001	437.56	15	63547	4236.47	0	0	0	0	0	0
ENST00000002165	ENSG00000001036	16910	7	2392	341.71	6	14530	2421.67	1	87	87	1	896	896
ENST00000650454	ENSG00000001084	47762	16	3801	237.56	15	43991	2932.73	1	457	457	1	1416	1416
ENST00000341376	ENSG00000001167	29431	10	6219	621.9	9	23230	2581.11	2	174	87	1	4994	4994
ENST00000468303	ENSG00000001460	59931	10	6026	602.6	9	53923	5991.44	0	0	0	0	0	0
ENST00000003912	ENSG00000001461	57175	13	5494	422.62	12	51705	4308.75	5	720	144	1	3792	3792
ENST00000679116	ENSG00000001497	22186	11	7581	689.18	10	14625	1462.5	0	0	0	0	0	0
ENST00000321037	ENSG00000001561	16701	4	4648	1162	3	12059	4019.67	2	236	118	1	3049	3049
ENST00000002829	ENSG00000001617	33753	19	3626	190.84	18	30163	1675.72	2	291	145.5	1	961	961
ENST00000003084	ENSG00000001626	188642	27	6097	225.81	26	182597	7022.96	1	71	71	1	1558	1558
ENST00000265742	ENSG00000001629	155411	20	6360	318	19	149089	7846.79	2	638	319	1	2435	2435
ENST00000003100	ENSG00000001630	22326	10	3165	316.5	9	19179	2131	1	114	114	1	1513	1513
ENST00000394507	ENSG00000001631	47133	20	4782	239.1	19	42389	2231	5	789	157.8	1	1768	1768
ENST00000358495	ENSG00000002016	37960	12	3035	252.92	11	34947	3177	2	113	56.5	1	1656	1656
ENST00000394532	ENSG00000002330	14811	3	1160	386.67	2	13655	6827.5	1	272	272	1	380	380
ENST00000226299	ENSG00000002549	30774	13	2222	170.92	12	28576	2381.33	1	269	269	1	382	382
ENST00000646103	ENSG00000002586	24273	2	1280	640	1	22995	22995	0	0	0	0	0	0
ENST00000002596	ENSG00000002587	35746	2	7162	3581	1	28586	28586	2	306	153	1	5933	5933
ENST00000493429	ENSG00000002726	36879	7	3142	448.86	6	33749	5624.83	4	588	147	1	296	296
ENST00000222462	ENSG00000002745	12106	4	3154	788.5	3	8958	2986	1	294	294	1	1760	1760
ENST00000395891	ENSG00000002746	453356	30	9483	316.1	29	443931	15307.97	3	560	186.67	1	4076	4076
ENST00000406869	ENSG00000002822	417451	19	3010	158.42	18	414477	23026.5	3	561	187	1	277	277
ENST00000433206	ENSG00000002834	51912	6	4029	671.5	5	47893	9578.6	2	416	208	1	2992	2992
ENST00000359238	ENSG00000002919	15837	7	2999	428.43	6	12850	2141.67	2	88	44	1	2094	2094
ENST00000462826	ENSG00000002933	3060	2	2067	1033.5	1	995	995	0	0	0	0	0	0
ENST00000000412	ENSG00000003056	9286	7	2457	351	6	6841	1140.17	2	161	80.5	1	1458	1458
ENST00000371876	ENSG00000003096	50130	6	5337	889.5	5	44803	8960.6	1	2423	2423	1	1095	1095
ENST00000001146	ENSG00000003137	18626	6	4562	760.33	5	14074	2814.8	1	29	29	1	2990	2990
ENST00000406470	ENSG00000003147	149427	14	2454	175.29	13	146999	11307.62	2	254	127	1	737	737
ENST00000623401	ENSG00000003249	2890	1	2890	2890	0	0	0	0	0	0	0	0	0
ENST00000679701	ENSG00000003393	80594	29	9280	320	28	71370	2548.93	0	0	0	0	0	0
ENST00000360132	ENSG00000003400	38764	9	5823	647	8	32957	4119.62	2	420	210	3	4577	1525.67
ENST00000309955	ENSG00000003402	60525	10	14622	1462.2	9	45921	5102.33	2	457	228.5	1	12715	12715
ENST00000481132	ENSG00000003436	52860	7	7697	1099.57	6	45175	7529.17	0	0	0	0	0	0
ENST00000474154	ENSG00000003509	17499	9	2983	331.44	8	14532	1816.5	0	0	0	0	0	0
ENST00000464087	ENSG00000003756	29996	25	5641	225.64	24	24403	1016.79	0	0	0	0	0	0
ENST00000180173	ENSG00000003987	116559	14	5124	366	13	111461	8573.92	1	60	60	1	3069	3069
ENST00000470360	ENSG00000003989	73360	14	7652	546.57	13	65734	5056.46	3	120	40	1	5428	5428
ENST00000463733	ENSG00000004059	3297	5	1514	302.8	4	1791	447.75	0	0	0	0	0	0
ENST00000585482	ENSG00000004139	32357	9	10286	1142.89	8	22087	2760.88	1	340	340	1	7764	7764
ENST00000540200	ENSG00000004142	10896	11	2681	243.73	10	8235	823.5	1	80	80	1	1485	1485
ENST00000324093	ENSG00000004399	51464	36	6949	193.03	35	44585	1273.86	1	38	38	1	1099	1099
ENST00000672715	ENSG00000004455	28899	6	5976	996	5	22933	4586.6	1	56	56	1	5196	5196
ENST00000226279	ENSG00000004468	74906	8	5628	703.5	7	69292	9898.86	1	88	88	1	4631	4631
ENST00000001008	ENSG00000004478	10455	10	3725	372.5	9	6748	749.78	1	171	171	1	2166	2166
ENST00000400181	ENSG00000004487	64223	21	3106	147.9	20	61157	3057.85	1	130	130	1	326	326
ENST00000454079	ENSG00000004534	137109	20	4344	217.2	19	132803	6989.63	3	823	274.33	7	1417	202.43
ENST00000573483	ENSG00000004660	16062	8	3906	488.25	7	12170	1738.57	0	0	0	0	0	0
ENST00000444129	ENSG00000004700	32727	15	3760	250.67	14	28995	2071.07	2	513	256.5	1	1285	1285
ENST00000544910	ENSG00000004766	128783	29	5765	198.79	28	123074	4395.5	3	249	83	1	2686	2686
ENST00000004982	ENSG00000004776	2465	3	1463	487.67	2	1006	503	1	22	22	1	957	957
ENST00000378944	ENSG00000004777	13309	21	4240	201.9	20	9109	455.45	4	458	114.5	1	394	394
ENST00000570319	ENSG00000004779	14422	4	889	222.25	3	13539	4513	1	2	2	1	414	414
ENST00000005178	ENSG00000004799	13019	11	3612	328.36	10	9427	942.7	1	224	224	1	2143	2143
ENST00000330550	ENSG00000004809	51450	10	2043	204.3	9	49425	5491.67	2	286	143	1	118	118
ENST00000231749	ENSG00000004838	4622	12	1786	148.83	11	2858	259.82	1	154	154	1	299	299
ENST00000404938	ENSG00000004846	141343	28	5378	192.07	27	136019	5037.74	2	194	97	1	1385	1385
ENST00000379044	ENSG00000004848	12273	5	2898	579.6	4	9383	2345.75	1	229	229	1	977	977
ENST00000416240	ENSG00000004864	201928	18	3210	178.33	17	198752	11691.29	1	192	192	1	971	971
ENST00000265437	ENSG00000004866	270582	16	2915	182.19	15	267697	17846.47	1	215	215	1	928	928
ENST00000066544	ENSG00000004897	71594	19	5849	307.84	18	65781	3654.5	1	124	124	1	3233	3233
ENST00000262418	ENSG00000004939	19747	20	4974	248.7	19	14811	779.53	2	152	76	1	2069	2069
ENST00000649521	ENSG00000004948	150193	15	3844	256.27	14	146377	10455.5	3	542	180.67	1	1818	1818
ENST00000380762	ENSG00000004961	11756	7	2319	331.29	6	9449	1574.83	2	231	115.5	1	1277	1277
ENST00000005340	ENSG00000004975	9177	15	3004	200.27	14	6201	442.93	1	256	256	1	524	524
ENST00000161006	ENSG00000005001	5442	6	1389	231.5	5	4063	812.6	1	67	67	1	364	364
ENST00000262803	ENSG00000005007	36273	24	5345	222.71	23	30974	1346.7	1	252	252	2	1715	857.5
ENST00000345317	ENSG00000005020	197524	13	3852	296.31	12	193696	16141.33	1	162	162	2	2600	1300
ENST00000317881	ENSG00000005022	2954	4	1311	327.75	3	1649	549.67	1	73	73	1	339	339
ENST00000394650	ENSG00000005059	128475	8	2238	279.75	7	126251	18035.86	1	93	93	1	1128	1128
ENST00000006015	ENSG00000005073	4077	2	2671	1335.5	1	1408	1408	1	89	89	1	1640	1640
ENST00000292614	ENSG00000005075	5791	4	936	234	3	4861	1620.33	1	48	48	1	532	532
ENST00000225296	ENSG00000005100	28067	12	5547	462.25	11	22542	2049.27	1	124	124	1	3289	3289
ENST00000318579	ENSG00000005102	21535	3	2677	892.33	2	18862	9431	1	389	389	1	1522	1522
ENST00000423059	ENSG00000005108	461835	28	10683	381.54	27	451206	16711.33	1	253	253	1	5430	5430
ENST00000378526	ENSG00000005156	29233	20	8402	420.1	19	20869	1098.37	2	117	58.5	1	5238	5238
ENST00000005386	ENSG00000005175	44783	17	4356	256.24	16	40459	2528.69	2	87	43.5	1	2257	2257
ENST00000614721	ENSG00000005187	7647	2	3313	1656.5	1	4336	4336	0	0	0	0	0	0
ENST00000261377	ENSG00000005189	43140	20	2711	135.55	19	40467	2129.84	2	183	91.5	1	186	186
