TPM_exon_exp_mean	Gene_name	label	hpa_256_tiss_ntpmtau	gtex_db_tissuegini	Total_utr_3_len	tss_dis	TF_motif_total_exons	rna_motif_total_gene_norm_len_cv	utr3_mirna_count	exon_cs_mean	tss_500bp_cs_median	V_codon_bias_sum	P_codon_bias_max	Y_codon_bias_max	A_codon_bias_median	cds_len	AT_cds_pct	AT_intron_pct	AT_tss_3kb_PTG_pct	GC_tss_4kb_PTG_pct
-7.658	BCL11A	1	0.579	0.631	3211.0	2312304.0	9937.0	1.73	3729.0	4.397	2.371	81.0	18.0	5.0	16.0	2508.0	0.414	0.551	0.768	1.272
6.324	CD19	1	0.991	0.946	0.0	6726.0	8657.0	2.524	217.0	1.045	0.108	0.0	0.0	0.0	0.0	0.0	0.0	0.447	1.124	0.879
1.752	CD1C	1	0.994	0.773	1299.0	35499.0	2809.0	1.426	1113.0	-0.274	0.0	24.0	6.0	6.0	4.0	1002.0	0.51	0.584	0.917	1.269
8.027	CD22	1	0.838	0.844	665.0	37053.0	3903.0	2.007	3560.0	0.472	-0.066	61.0	18.0	16.0	9.0	2544.0	0.455	0.473	1.075	0.893
6.234	CD27	1	0.987	0.81	322.0	56029.0	3343.0	1.695	659.0	0.517	0.041	9.0	11.0	3.0	5.0	783.0	0.415	0.503	1.063	0.923
4.926	CD320	1	0.491	0.258	1477.0	57775.0	2054.0	2.708	879.0	0.155	-0.118	1.0	3.0	0.0	2.0	246.0	0.378	0.429	1.053	0.95
8.179	CD40	1	0.862	0.514	0.0	28388.0	2197.0	2.511	3437.0	0.588	0.038	0.0	0.0	0.0	0.0	0.0	0.0	0.512	0.968	1.008
4.959	CD81	1	0.687	0.345	0.0	89374.0	6497.0	1.558	2307.0	-0.353	-0.594	0.0	0.0	0.0	0.0	0.0	0.0	0.353	0.97	1.024
7.154	CD86	1	0.89	0.636	1603.0	33114.0	2872.0	1.472	10731.0	0.333	0.032	20.0	10.0	5.0	2.0	990.0	0.587	0.593	1.057	0.944
2.582	CR2	1	0.992	0.97	771.0	132650.0	5118.0	1.364	450.0	0.692	0.0	73.0	41.0	27.0	10.0	3279.0	0.53	0.617	0.954	1.044
4.639	EBF1	1	0.879	0.555	3192.0	1240771.0	8869.0	1.576	5899.0	5.211	2.313	54.0	12.0	8.0	6.0	1776.0	0.456	0.6	0.796	1.309
3.993	FOXO1	1	0.856	0.487	3384.0	1011015.0	13862.0	2.152	778.0	2.336	0.401	57.0	13.0	3.0	7.0	1968.0	0.42	0.583	0.704	1.285
5.29	GABPB1	1	0.822	0.301	3244.0	89472.0	5771.0	2.538	10435.0	4.09	1.001	16.0	2.0	11.0	1.0	1152.0	0.569	0.606	0.879	1.167
4.506	GFI1	1	0.991	0.705	2987.0	187867.0	5613.0	1.247	4303.0	2.677	0.0	46.0	15.0	1.0	13.0	1269.0	0.353	0.448	0.949	1.051
2.94	GFI1	1	0.991	0.705	2987.0	187867.0	5613.0	1.247	4303.0	2.677	0.0	46.0	15.0	1.0	13.0	1269.0	0.353	0.448	0.949	1.051
5.901	IKZF3	1	0.98	0.9	8073.0	126375.0	14302.0	2.078	51975.0	2.872	0.46	47.0	6.0	5.0	9.0	1530.0	0.515	0.6	1.049	0.979
5.21	IL7R	1	0.975	0.767	3118.0	239047.0	6303.0	1.155	4966.0	1.269	0.187	33.0	10.0	9.0	4.5	1380.0	0.56	0.614	1.015	0.954
5.123	ITGA4	1	0.973	0.761	3414.0	476262.0	10599.0	1.387	900.0	2.548	-0.009	76.0	17.0	23.0	7.0	3099.0	0.575	0.643	0.847	1.21
4.337	ITGB1	1	0.878	0.553	0.0	506611.0	6851.0	1.559	1219.0	3.472	-0.124	0.0	0.0	0.0	0.0	0.0	0.0	0.618	0.855	1.2
9.708	ITGB1	1	0.878	0.553	0.0	506611.0	6851.0	1.559	1219.0	3.472	-0.124	0.0	0.0	0.0	0.0	0.0	0.0	0.618	0.855	1.2
3.188	LEF1	1	0.984	0.501	1212.0	141314.0	10685.0	1.649	2344.0	4.55	0.596	37.0	4.0	2.0	1.0	1200.0	0.492	0.603	0.767	1.358
11.125	MS4A1	1	0.994	0.974	2285.0	26275.0	4568.0	1.432	3086.0	0.748	0.146	12.0	11.0	4.0	4.5	894.0	0.579	0.593	0.989	1.015
7.014	NFKB1	1	0.868	0.365	2153.0	155903.0	8077.0	1.513	971.0	2.767	0.202	32.0	13.0	14.0	8.0	1536.0	0.54	0.626	0.84	1.184
4.94	PAX5	1	0.979	0.979	7292.0	461374.0	13410.0	1.48	39653.0	4.218	0.867	36.0	10.0	3.0	4.0	1176.0	0.409	0.509	0.899	1.122
