Geneid	tsid	length	Total_num_exons	Total_exons_len	avg_exon_length	Total_num_introns	Total_introns_len	avg_intron_length	Total_num_utr_5	Total_utr_5_len	avg_utr_5_length	Total_num_utr_3	Total_utr_3_len	avg_utr_3_length
ENSMUSG00000000001	ENSMUST00000000001	38868	9	3271	363.44	8.0	35613.0	4451.62	1.0	142.0	142.0	2.0	2058.0	1029.0
ENSMUSG00000000003	ENSMUST00000000003	15724	7	909	129.86	6.0	14827.0	2471.17	1.0	141.0	141.0	2.0	239.0	119.5
ENSMUSG00000000028	ENSMUST00000000028	31527	20	2163	108.15	19.0	29402.0	1547.47	2.0	315.0	157.5	2.0	131.0	65.5
ENSMUSG00000000037	ENSMUST00000101113	139709	23	2954	128.43	22.0	136799.0	6218.14	1.0	127.0	127.0	1.0	328.0	328.0
ENSMUSG00000000049	ENSMUST00000133383	52553	3	370	123.33	2.0	52187.0	26093.5	2.0	215.0	107.5	0.0	0.0	0.0
ENSMUSG00000000056	ENSMUST00000103015	18605	11	4406	400.55	10.0	14219.0	1421.9	1.0	73.0	73.0	1.0	2935.0	2935.0
ENSMUSG00000000058	ENSMUST00000000058	7932	3	2736	912.0	2.0	5200.0	2600.0	1.0	177.0	177.0	1.0	2069.0	2069.0
ENSMUSG00000000078	ENSMUST00000000080	8914	4	4229	1057.25	3.0	4691.0	1563.67	1.0	158.0	158.0	1.0	3112.0	3112.0
ENSMUSG00000000085	ENSMUST00000000087	124879	17	3370	198.24	16.0	121541.0	7596.31	5.0	438.0	87.6	1.0	926.0	926.0
ENSMUSG00000000088	ENSMUST00000213678	11154	4	1822	455.5	3.0	9338.0	3112.67	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000000093	ENSMUST00000000095	9399	7	3633	519.0	6.0	5778.0	963.0	1.0	557.0	557.0	1.0	935.0	935.0
ENSMUSG00000000094	ENSMUST00000108047	29675	9	3162	351.33	8.0	26529.0	3316.12	2.0	146.0	73.0	1.0	1351.0	1351.0
