Geneid	Genename	length
ENSMUSG00000000001	Gnai3	38868
ENSMUSG00000000003	Pbsn	15724
ENSMUSG00000000028	Cdc45	31527
ENSMUSG00000000037	Scml2	139709
ENSMUSG00000000049	Apoh	52553
ENSMUSG00000000056	Narf	18605
ENSMUSG00000000058	Cav2	7932
ENSMUSG00000000078	Klf6	8914
ENSMUSG00000000085	Scmh1	124879
ENSMUSG00000000088	Cox5a	11154
ENSMUSG00000000093	Tbx2	9399
ENSMUSG00000000094	Tbx4	29675
ENSMUSG00000000103	Zfy2	64236
ENSMUSG00000000120	Ngfr	18919
ENSMUSG00000000125	Wnt3	43809
ENSMUSG00000000126	Wnt9a	26626
ENSMUSG00000000127	Fer	261432
ENSMUSG00000000131	Xpo6	98788
ENSMUSG00000000134	Tfe3	12546
ENSMUSG00000000142	Axin2	30436
ENSMUSG00000000148	Brat1	14370
ENSMUSG00000000149	Gna12	72025
ENSMUSG00000000154	Slc22a18	25600
ENSMUSG00000000157	Itgb2l	21333
ENSMUSG00000000159	Igsf5	60455
ENSMUSG00000000167	Pih1d2	7678
ENSMUSG00000000168	Dlat	25149
ENSMUSG00000000171	Sdhd	7457
ENSMUSG00000000182	Fgf23	8508
ENSMUSG00000000183	Fgf6	12603
ENSMUSG00000000184	Ccnd2	25900
ENSMUSG00000000194	Gpr107	66461
ENSMUSG00000000197	Nalcn	350512
ENSMUSG00000000202	Btbd17	4695
ENSMUSG00000000204	Slfn4	15032
ENSMUSG00000000214	Th	38332
ENSMUSG00000000215	Ins2	64727
ENSMUSG00000000216	Scnn1g	33998
ENSMUSG00000000223	Drp2	51947
ENSMUSG00000000244	Tspan32	14442
ENSMUSG00000000247	Lhx2	29920
ENSMUSG00000000248	Clec2g	50325
ENSMUSG00000000253	Gmpr	38940
ENSMUSG00000000263	Glra1	93962
ENSMUSG00000000266	Mid2	102761
ENSMUSG00000000275	Trim25	20919
ENSMUSG00000000275	Trim25	20919
ENSMUSG00000000276	Dgke	31673
ENSMUSG00000000278	Scpep1	31447
ENSMUSG00000000282	Mnt	14807
ENSMUSG00000000290	Itgb2	35436
ENSMUSG00000000295	Hddc2	14823
ENSMUSG00000000296	Tpd52l1	113584
ENSMUSG00000000301	Pemt	75869
ENSMUSG00000000303	Cdh1	66897
ENSMUSG00000000305	Cdh4	456944
ENSMUSG00000000308	Ckmt1	5963
ENSMUSG00000000317	Bcl6b	5613
ENSMUSG00000000318	Clec10a	14068
ENSMUSG00000000320	Alox12	13898
ENSMUSG00000000326	Comt	19588
ENSMUSG00000000339	Rtca	19247
ENSMUSG00000000340	Dbt	36913
ENSMUSG00000000346	Dazap2	5414
ENSMUSG00000000355	Mcts1	12773
ENSMUSG00000000359	Rem1	8245
ENSMUSG00000000365	Rnf17	122453
ENSMUSG00000000374	Trappc10	57918
ENSMUSG00000000378	Ccm2	49859
ENSMUSG00000000381	Wap	3157
ENSMUSG00000000384	Tbrg4	10470
ENSMUSG00000000385	Tmprss2	46515
ENSMUSG00000000392	Fap	73134
ENSMUSG00000000394	Gcg	9122
ENSMUSG00000000399	Ndufa9	27406
ENSMUSG00000000402	Egfl6	62715
ENSMUSG00000000409	Lck	25294
ENSMUSG00000000411	Tssk3	2010
ENSMUSG00000000416	Cttnbp2	148044
ENSMUSG00000000420	Galnt1	81476
ENSMUSG00000000435	Myf5	3228
ENSMUSG00000000439	Mkrn2	20724
ENSMUSG00000000440	Pparg	129450
ENSMUSG00000000441	Raf1	58068
ENSMUSG00000000486	1-Sep	15920
ENSMUSG00000000489	Pdgfb	18936
ENSMUSG00000000530	Acvrl1	16816
ENSMUSG00000000531	Grasp	8570
ENSMUSG00000000532	Acvr1b	39619
ENSMUSG00000000538	Tom1l2	126193
ENSMUSG00000000544	Gpa33	36274
ENSMUSG00000000552	Zfp385a	26200
ENSMUSG00000000555	Itga5	22479
ENSMUSG00000000560	Gabra2	138254
ENSMUSG00000000561	Wdr77	10525
ENSMUSG00000000562	Adora3	37497
ENSMUSG00000000563	Atp5f1	17403
ENSMUSG00000000567	Sox9	5538
ENSMUSG00000000568	Hnrnpd	23005
ENSMUSG00000000579	Dynlt1c	8010
ENSMUSG00000000581	C1d	11584
ENSMUSG00000000594	Gm2a	14916
ENSMUSG00000000600	Krit1	42376
ENSMUSG00000000605	Clcn4	17226
ENSMUSG00000000606	Vmn2r88	9903
ENSMUSG00000000606	Vmn2r88	9903
ENSMUSG00000000606	Vmn2r88	9903
ENSMUSG00000000606	Vmn2r88	9903
ENSMUSG00000000606	Vmn2r88	9903
ENSMUSG00000000606	Vmn2r88	9903
ENSMUSG00000000606	Vmn2r88	9903
ENSMUSG00000000606	Vmn2r88	9903
ENSMUSG00000000606	Vmn2r88	9903
ENSMUSG00000000617	Grm6	15523
ENSMUSG00000000627	Sema4f	27886
ENSMUSG00000000628	Hk2	49431
ENSMUSG00000000631	Myo18a	102736
ENSMUSG00000000632	Sez6	48250
ENSMUSG00000000673	Haao	15595
ENSMUSG00000000682	Cd52	12595
ENSMUSG00000000686	Abhd15	22625
ENSMUSG00000000690	Hoxb6	9095
ENSMUSG00000000693	Loxl3	18391
ENSMUSG00000000693	Loxl3	18391
ENSMUSG00000000701	Tcl1b5	4803
ENSMUSG00000000706	Btn1a1	8885
ENSMUSG00000000708	Kat2b	105751
ENSMUSG00000000711	Rab5b	19091
ENSMUSG00000000724	Cryba1	6658
ENSMUSG00000000730	Dnmt3l	21337
ENSMUSG00000000731	Aire	13589
ENSMUSG00000000732	Icosl	12754
ENSMUSG00000000738	Spg7	34774
ENSMUSG00000000739	Sult5a1	18080
ENSMUSG00000000740	Rpl13	2896
ENSMUSG00000000743	Chmp1a	8498
ENSMUSG00000000751	Rpa1	50160
ENSMUSG00000000753	Serpinf1	12934
ENSMUSG00000000759	Tubgcp3	57973
ENSMUSG00000000766	Oprm1	278955
ENSMUSG00000000776	Polr3d	4692
ENSMUSG00000000782	Tcf7	30202
ENSMUSG00000000787	Ddx3x	13084
ENSMUSG00000000791	Il12rb1	12977
ENSMUSG00000000792	Slc5a5	9870
ENSMUSG00000000794	Kcnn3	147599
ENSMUSG00000000804	Usp32	155598
ENSMUSG00000000805	Car4	8258
ENSMUSG00000000811	Txnrd3	31543
ENSMUSG00000000811	Txnrd3	31543
ENSMUSG00000000817	Fasl	7808
ENSMUSG00000000823	Zfp512b	10702
ENSMUSG00000000826	Dnajc5	34650
ENSMUSG00000000827	Tpd52l2	20803
ENSMUSG00000000838	Fmr1	39424
ENSMUSG00000000861	Bcl11a	96008
ENSMUSG00000000869	Il4	14244
ENSMUSG00000000876	Pxmp4	17952
ENSMUSG00000000881	Dlg3	50687
ENSMUSG00000000884	Gnb1l	67793
ENSMUSG00000000884	Gnb1l	67793
ENSMUSG00000000889	Dbh	17969
ENSMUSG00000000901	Mmp11	9329
ENSMUSG00000000902	Smarcb1	24850
ENSMUSG00000000903	Vpreb3	6582
ENSMUSG00000000915	Hip1r	31932
ENSMUSG00000000916	Nsun5	6847
ENSMUSG00000000934	Top1mt	21767
ENSMUSG00000000938	Hoxa10	8934
ENSMUSG00000000942	Hoxa4	2084
ENSMUSG00000000948	Gm38393	30917
ENSMUSG00000000948	Gm38393	30917
