TPM_exon_exp_mean	Gene_name	label	mca3gini	mtdtau_log	mtdroku_specificity_log	Total_utr_5_len	tss_dis	TF_motif_meanexon	TF_motif_cv_tss_3kb	TF_motif_totaltss_2kb_norm_GL	utr5_mirna_count	exon_avg_CS_median	R_codon_bias_median_trans	AT_transcript_pct	GC_intron_pct	AT_intron_pct	GC_tss_2kb_pct
2.992	Cyp26b1	1	0.758	0.668	0.146	310.0	585319.0	0.581	2.111	0.022	2593.0	1.41	65.0	0.448	0.546	0.454	0.518
0.128	Cd38	1	0.613	0.591	0.102	324.0	46914.0	0.583	2.338	0.019	181.0	0.27	22.0	0.576	0.425	0.575	0.462
0.589	Meox1	1	0.702	0.666	0.143	370.0	109003.0	0.36	1.972	0.028	323.0	1.1	27.0	0.489	0.509	0.491	0.506
0.179	Zfx	1	0.233	0.502	0.076	440.0	154749.0	1.16	5.479	0.024	1483.0	1.88	48.0	0.604	0.395	0.605	0.535
0.884	Prom1	1	0.639	0.631	0.053	255.0	120253.0	0.439	2.342	0.004	2922.0	0.36	90.0	0.556	0.444	0.556	0.524
5.665	Pax6	1	0.896	0.725	0.0	284.0	269580.0	1.418	2.147	0.066	4554.0	2.88	68.0	0.512	0.491	0.509	0.548
-5.243	Pax6	1	0.896	0.725	0.0	284.0	269580.0	1.418	2.147	0.066	4554.0	2.88	68.0	0.512	0.491	0.509	0.548
-5.749	Pax7	1	0.901	0.355	0.0	618.0	179991.0	1.097	2.986	0.006	581.0	2.43	158.0	0.479	0.519	0.481	0.566
6.399	Cd22	1	0.813	0.888	0.295	511.0	18705.0	0.526	3.009	0.027	800.0	0.19	20.0	0.494	0.496	0.504	0.474
9.844	Vim	1	0.436	0.28	0.082	481.0	29283.0	0.467	2.917	0.076	184.0	2.39	15.0	0.565	0.4	0.6	0.522
1.037	Cd44	1	0.451	0.531	0.058	320.0	243007.0	0.758	2.762	0.004	2498.0	0.75	50.0	0.578	0.421	0.579	0.477
4.731	Cdh1	1	0.766	0.45	0.095	145.0	92460.0	0.642	1.862	0.008	136.0	0.92	96.0	0.53	0.468	0.532	0.503
5.018	Dkk3	1	0.685	0.575	0.079	117.0	135493.0	0.587	3.564	0.009	250.0	0.99	43.0	0.511	0.487	0.513	0.526
3.009	Bcar1	1	0.429	0.289	0.131	110.0	52799.0	0.396	2.061	0.014	90.0	1.27	56.0	0.472	0.521	0.479	0.572
6.723	Prss8	1	0.778	0.593	0.0	223.0	17589.0	0.887	1.868	0.372	842.0	0.57	8.0	0.455	0.533	0.467	0.528
-0.281	Prdm1	1	0.497	0.693	0.182	0.0	260144.0	0.132	2.856	0.007	1393.0	1.64	81.0	0.571	0.428	0.572	0.487
-0.089	Prdm1	1	0.497	0.693	0.182	0.0	260144.0	0.132	2.856	0.007	1393.0	1.64	81.0	0.571	0.428	0.572	0.487
2.18	Ngfr	1	0.667	0.56	0.098	178.0	73165.0	0.522	2.348	0.024	98.0	1.32	42.0	0.464	0.525	0.475	0.539
0.351	Ngfr	1	0.667	0.56	0.098	178.0	73165.0	0.522	2.348	0.024	98.0	1.32	42.0	0.464	0.525	0.475	0.539
-4.736	Eya2	1	0.592	0.616	0.07	245.0	91245.0	0.396	2.922	0.002	297.0	1.96	228.0	0.507	0.491	0.509	0.513
1.72	Cyb5r4	1	0.219	0.338	0.067	166.0	6477.0	0.487	2.005	0.007	117.0	1.46	37.0	0.596	0.402	0.598	0.425
1.036	Isoc1	1	0.198	0.414	0.132	27.0	103209.0	0.696	4.333	0.04	6.0	2.14	26.0	0.55	0.45	0.55	0.448
-0.768	Mef2a	1	0.36	0.289	0.119	339.0	150315.0	1.878	5.449	0.011	476.0	2.1	80.0	0.621	0.377	0.623	0.538
3.168	Tcf3	1	0.255	0.36	0.074	387.0	26817.0	0.391	3.683	0.018	1506.0	1.07	54.0	0.444	0.548	0.452	0.553
4.792	Tcf3	1	0.255	0.36	0.074	387.0	26817.0	0.391	3.683	0.018	1506.0	1.07	54.0	0.444	0.548	0.452	0.553
3.068	Smc1a	1	0.193	0.341	0.102	105.0	132.0	0.572	3.077	0.026	158.0	2.75	39.0	0.581	0.413	0.587	0.482
0.738	Trp63	1	0.881	0.724	0.174	526.0	396948.0	1.037	2.257	0.002	2019.0	2.53	133.0	0.604	0.394	0.606	0.384
-1.285	Gli2	1	0.637	0.631	0.088	351.0	425674.0	0.935	2.897	0.002	232.0	1.9	226.0	0.504	0.494	0.506	0.55
1.949	Mcam	1	0.538	0.419	0.077	129.0	21044.0	0.5	2.717	0.056	91.0	0.88	15.0	0.458	0.545	0.455	0.576
3.323	Dcx	1	0.871	0.728	0.0	266.0	105897.0	1.605	2.422	0.007	514.0	2.3	42.0	0.608	0.39	0.61	0.42
1.976	Map2	1	0.751	0.692	0.182	466.0	248796.0	0.869	3.308	0.003	2170.0	1.49	134.0	0.617	0.383	0.617	0.483
6.139	Edn1	1	0.643	0.722	0.175	420.0	249455.0	0.397	2.133	0.089	344.0	0.69	10.0	0.544	0.453	0.547	0.488
-2.448	Mef2c	1	0.389	0.656	0.11	378.0	1721163.0	4.963	3.046	0.011	8692.0	2.9	120.0	0.625	0.374	0.626	0.355
4.105	Ptprc	1	0.65	0.794	0.158	140.0	1214858.0	0.717	2.596	0.003	191.0	0.94	63.0	0.62	0.378	0.622	0.382
5.331	Cnot3	1	0.18	0.29	0.105	0.0	15305.0	0.627	2.461	0.025	328.0	2.49	17.0	0.49	0.495	0.505	0.523
2.095	Itga6	1	0.475	0.427	0.138	0.0	198861.0	0.084	2.276	0.006	282.0	0.97	83.0	0.546	0.453	0.547	0.468
1.657	Jak2	1	0.458	0.515	0.116	318.0	150453.0	3.502	2.861	0.041	1320.0	2.25	55.0	0.606	0.39	0.61	0.526
3.695	Nrp1	1	0.464	0.364	0.101	277.0	1294959.0	0.53	2.188	0.003	503.0	1.83	79.0	0.582	0.416	0.584	0.531
3.93	Susd2	1	0.624	0.605	0.077	0.0	54669.0	0.432	1.859	0.047	158.0	0.53	15.0	0.437	0.563	0.437	0.548
7.69	Xbp1	1	0.244	0.287	0.106	337.0	75811.0	0.313	2.127	0.095	560.0	1.53	19.0	0.488	0.5	0.5	0.534
3.816	Mcm5	1	0.485	0.592	0.099	63.0	15948.0	0.49	1.724	0.021	186.0	2.36	18.0	0.535	0.453	0.547	0.49
-2.358	Pdgfb	1	0.563	0.486	0.068	811.0	43689.0	0.441	3.274	0.018	585.0	1.01	52.0	0.446	0.545	0.455	0.599
3.216	Hif1a	1	0.277	0.369	0.06	127.0	316578.0	1.278	2.776	0.014	535.0	2.26	43.0	0.621	0.378	0.622	0.427
