Geneid	Genename	length
ENSG00000186092	OR4F5	6168
ENSG00000284733	OR4F29	940
ENSG00000284662	OR4F16	996
ENSG00000187634	SAMD11	20653
ENSG00000188976	NOC2L	14255
ENSG00000187961	KLHL17	5137
ENSG00000187583	PLEKHN1	9385
ENSG00000187642	PERM1	5826
ENSG00000188290	HES4	1212
ENSG00000187608	ISG15	13404
ENSG00000188157	AGRN	22012
ENSG00000237330	RNF223	3341
ENSG00000131591	C1orf159	5813
ENSG00000162571	TTLL10	24058
ENSG00000186891	TNFRSF18	3086
ENSG00000186827	TNFRSF4	2800
ENSG00000078808	SDF4	4421
ENSG00000176022	B3GALT6	2806
ENSG00000184163	C1QTNF12	4271
ENSG00000160087	UBE2J2	19946
ENSG00000162572	SCNN1D	11438
ENSG00000131584	ACAP3	13541
ENSG00000169972	PUSL1	2443
ENSG00000127054	INTS11	3566
ENSG00000224051	CPTP	4096
ENSG00000169962	TAS1R3	4036
ENSG00000107404	DVL1	14142
ENSG00000162576	MXRA8	9087
ENSG00000175756	AURKAIP1	1429
ENSG00000221978	CCNL2	12812
ENSG00000242485	MRPL20	5357
ENSG00000235098	ANKRD65	2858
ENSG00000205116	TMEM88B	4386
ENSG00000179403	VWA1	7194
ENSG00000215915	ATAD3C	20476
ENSG00000160072	ATAD3B	19824
ENSG00000197785	ATAD3A	22512
ENSG00000205090	TMEM240	5848
ENSG00000160075	SSU72	13738
ENSG00000228594	FNDC10	2125
ENSG00000197530	MIB2	15152
ENSG00000189409	MMP23B	2298
ENSG00000248333	CDK11B	23781
ENSG00000189339	SLC35E2B	31319
ENSG00000008128	CDK11A	21980
ENSG00000215790	SLC35E2A	21083
ENSG00000008130	NADK	28839
ENSG00000078369	GNB1	105803
ENSG00000169885	CALML6	2032
ENSG00000178821	TMEM52	1209
ENSG00000142609	CFAP74	81831
ENSG00000187730	GABRD	6444
ENSG00000067606	PRKCZ	134986
ENSG00000162585	FAAP20	4566
ENSG00000157933	SKI	81896
ENSG00000116151	MORN1	13486
ENSG00000157916	RER1	13597
ENSG00000157911	PEX10	8602
ENSG00000149527	PLCH2	7748
ENSG00000157881	PANK4	18061
ENSG00000197921	HES5	1520
ENSG00000157873	TNFRSF14	7180
ENSG00000157870	PRXL2B	4719
ENSG00000142606	MMEL1	42379
ENSG00000215912	TTC34	165743
ENSG00000169717	ACTRT2	1438
ENSG00000142611	PRDM16	369420
ENSG00000130762	ARHGEF16	26450
ENSG00000162591	MEGF6	123559
ENSG00000158109	TPRG1L	5114
ENSG00000116213	WRAP73	7741
ENSG00000078900	TP73	83687
ENSG00000162592	CCDC27	10731
ENSG00000235169	SMIM1	3197
ENSG00000130764	LRRC47	17941
ENSG00000116198	CEP104	33921
ENSG00000169598	DFFB	28150
ENSG00000198912	C1orf174	11170
ENSG00000196581	AJAP1	137927
ENSG00000131697	NPHP4	129662
ENSG00000069424	KCNAB2	74907
ENSG00000116254	CHD5	78536
ENSG00000116251	RPL22	12990
ENSG00000158286	RNF207	15182
ENSG00000116237	ICMT	14773
ENSG00000173673	HES3	1401
ENSG00000158292	GPR153	13747
ENSG00000097021	ACOT7	95073
ENSG00000069812	HES2	4689
ENSG00000187017	ESPN	31885
ENSG00000215788	TNFRSF25	4950
ENSG00000171680	PLEKHG5	52889
ENSG00000162408	NOL9	33168
ENSG00000173662	TAS1R1	24450
ENSG00000204859	ZBTB48	3980
ENSG00000162413	KLHL21	12279
ENSG00000116273	PHF13	10301
ENSG00000041988	THAP3	10396
ENSG00000007923	DNAJC11	67648
ENSG00000171735	CAMTA1	984254
ENSG00000049245	VAMP3	10138
ENSG00000049246	PER3	60888
ENSG00000049247	UTS2	10431
ENSG00000049249	TNFRSF9	27273
ENSG00000116288	PARK7	23796
ENSG00000116285	ERRFI1	14584
ENSG00000162426	SLC45A1	26053
ENSG00000142599	RERE	465070
ENSG00000074800	ENO1	10576
ENSG00000131686	CA6	6771
ENSG00000197241	SLC2A7	23452
ENSG00000142583	SLC2A5	34531
ENSG00000180758	GPR157	28799
ENSG00000049239	H6PD	36565
ENSG00000171621	SPSB1	76640
ENSG00000171612	SLC25A33	45710
ENSG00000188807	TMEM201	16034
ENSG00000171608	PIK3CD	77384
ENSG00000171608	PIK3CD	77384
ENSG00000171603	CLSTN1	95041
ENSG00000178585	CTNNBIP1	61995
ENSG00000162441	LZIC	17100
ENSG00000173614	NMNAT1	42025
ENSG00000162444	RBP7	18816
ENSG00000130939	UBE4B	148409
ENSG00000054523	KIF1B	171035
ENSG00000142657	PGD	21449
ENSG00000175279	CENPS	11553
ENSG00000241563	CORT	1969
ENSG00000160049	DFFA	16009
ENSG00000142655	PEX14	155810
ENSG00000130940	CASZ1	160044
ENSG00000175262	C1orf127	35566
ENSG00000120948	TARDBP	12840
ENSG00000009724	MASP2	20718
ENSG00000116649	SRM	5431
ENSG00000171824	EXOSC10	33253
ENSG00000198793	MTOR	156018
ENSG00000171819	ANGPTL7	6628
ENSG00000120942	UBIAD1	15238
ENSG00000204624	DISP3	58398
ENSG00000116661	FBXO2	13754
ENSG00000132879	FBXO44	8472
ENSG00000116663	FBXO6	10156
ENSG00000116670	MAD2L2	17172
ENSG00000162490	DRAXIN	34149
ENSG00000177674	AGTRAP	14635
ENSG00000215910	C1orf167	27799
ENSG00000177000	MTHFR	19692
ENSG00000011021	CLCN6	37049
ENSG00000175206	NPPA	2076
ENSG00000120937	NPPB	1483
ENSG00000116685	KIAA2013	6838
ENSG00000083444	PLOD1	40822
ENSG00000116688	MFN2	33203
ENSG00000116691	MIIP	9755
ENSG00000120949	TNFRSF8	80906
ENSG00000028137	TNFRSF1B	42231
ENSG00000048707	VPS13D	282019
ENSG00000162496	DHRS3	50302
ENSG00000204518	AADACL4	22993
ENSG00000188984	AADACL3	12652
ENSG00000157330	C1orf158	17501
ENSG00000116726	PRAMEF12	4170
ENSG00000116721	PRAMEF1	5233
ENSG00000239810	PRAMEF11	6807
ENSG00000179172	HNRNPCL1	1345
ENSG00000120952	PRAMEF2	4825
ENSG00000243073	PRAMEF4	6991
ENSG00000187545	PRAMEF10	5376
ENSG00000204510	PRAMEF7	3874
ENSG00000232423	PRAMEF6	9110
ENSG00000232423	PRAMEF6	6946
ENSG00000274764	PRAMEF27	7101
ENSG00000277058	HNRNPCL3	2111
ENSG00000229571	PRAMEF25	9209
ENSG00000275774	HNRNPCL2	1368
ENSG00000280267	PRAMEF26	7058
ENSG00000179412	HNRNPCL4	1719
ENSG00000204505	PRAMEF9	7613
ENSG00000279169	PRAMEF13	5223
ENSG00000279804	PRAMEF18	3403
ENSG00000270601	PRAMEF5	9104
ENSG00000182330	PRAMEF8	4121
ENSG00000237700	PRAMEF33	5370
ENSG00000204501	PRAMEF15	7019
ENSG00000204481	PRAMEF14	5244
ENSG00000204480	PRAMEF19	2835
ENSG00000204479	PRAMEF17	2999
ENSG00000204478	PRAMEF20	4979
ENSG00000162494	LRRC38	39032
ENSG00000162493	PDPN	34494
ENSG00000116731	PRDM2	120226
ENSG00000189337	KAZN	1225253
ENSG00000171729	TMEM51	66733
ENSG00000142621	FHAD1	161809
ENSG00000142634	EFHD2	20453
ENSG00000162438	CTRC	10801
ENSG00000142615	CELA2A	15361
ENSG00000215704	CELA2B	15293
